,Country,"Medals won (gold, silver, bronze)"
0,United States,2520
1,Russia,1865
2,Germany,1681
3,Great Britain,847
4,France,713
5,Italy,577
6,China,543
7,Australia,497
8,Sweden,494
9,Hungary,491
10,Japan,439
11,Romania,306
12,Finland,303
13,Canada,301
14,Netherlands,285
15,Poland,282
16,South Korea,264
17,Cuba,220
18,Bulgaria,214
19,Czech Republic,197
20,Denmark,194
21,Switzerland,193
22,Norway,152
23,Belgium,148
24,Spain,148
25,Brazil,128
26,Ukraine,124
27,Greece,117
28,New Zealand,117
29,Kenya,100
30,Serbia,110
31,Turkey,93
32,Austria,87
33,South Africa,86
34,Belarus,85
35,Jamaica,78
36,Argentina,69
37,Kazakhstan,69
38,Iran,68
39,Mexico,67
40,North Korea,54
41,Ethiopia,53
42,Azerbaijan,44
43,Estonia,34
44,Croatia,33
45,Uzbekistan,33
46,Georgia,32
47,Ireland,32
48,Thailand,31
49,Indonesia,30
