,State,Number of FQHCs
0,Alabama,15
1,Alaska,27
2,Arizona,20
3,Arkansas,12
4,California,177
5,Colorado,20
6,Connecticut,16
7,Delaware,3
8,District of Columbia,8
9,Florida,47
10,Georgia,35
11,Hawaii,14
12,Idaho,14
13,Illinois,44
14,Indiana,25
15,Iowa,14
16,Kansas,18
17,Kentucky,24
18,Louisiana,34
19,Maine,18
20,Maryland,17
21,Massachusetts,39
22,Michigan,38
23,Minnesota,16
24,Mississippi,20
25,Missouri,29
26,Montana,14
27,Nebraska,7
28,Nevada,7
29,New Hampshire,10
30,New Jersey,23
31,New Mexico,17
32,New York,62
33,North Carolina,40
34,North Dakota,4
35,Ohio,47
36,Oklahoma,20
37,Oregon,30
38,Pennsylvania,43
39,Rhode Island,8
40,South Carolina,23
41,South Dakota,4
42,Tennessee,29
43,Texas,72
44,Utah,13
45,Vermont,11
46,Virginia,26
47,Washington,27
48,West Virginia,27
49,Wisconsin,17
50,Wyoming,6
