,Month,Number of deaths
0,Jan 3,75024
1,Jan 2,74570
2,Jan 1,74125
3,Dec 31,73512
4,Dec 30,72548
5,Dec 29,71567
6,Dec 28,71153
7,Dec 27,70796
8,Dec 26,70479
9,Dec 25,70249
10,Dec 24,69636
11,Dec 23,69051
12,Dec 22,68307
13,Dec 21,67616
14,Dec 20,67401
15,Dec 19,67075
16,Dec 18,66541
17,Dec 17,66052
18,Dec 16,65520
19,Dec 15,64908
20,Dec 14,64402
21,Dec 13,64170
22,Dec 12,64026
23,Dec 11,63506
24,Dec 10,63082
25,Dec 9,62566
26,Dec 8,62033
27,Dec 7,61434
28,Dec 6,61245
29,Dec 5,61014
30,Dec 4,60617
31,Dec 3,60113
32,Dec 2,59699
33,Dec 1,59051
34,Nov 30,58448
35,Nov 29,58245
36,Nov 28,58030
37,Nov 27,57551
38,Nov 26,57031
39,Nov 25,56533
40,Nov 24,55838
41,Nov 23,55230
42,Nov 22,55024
43,Nov 21,54626
44,Nov 20,54286
45,Nov 19,53775
46,Nov 18,53274
47,Nov 17,52745
48,Nov 16,52147
49,Nov 15,51934
50,Nov 14,51766
51,Nov 13,51304
52,Nov 12,50928
53,Nov 11,50365
54,Nov 10,49770
55,Nov 9,49238
56,Nov 8,49044
57,Nov 7,48888
58,Nov 6,48475
59,Nov 5,48120
60,Nov 4,47742
61,Nov 3,47250
62,Nov 2,46853
63,Nov 1,46717
64,Oct 31,46555
65,Oct 30,46229
66,Oct 29,45955
67,Oct 28,45675
68,Oct 27,45365
69,Oct 26,44998
70,Oct 25,44896
71,Oct 24,44745
72,Oct 23,44571
73,Oct 22,44347
74,Oct 21,44155
75,Oct 20,44113
76,Oct 19,44002
77,Oct 18,43646
78,Oct 17,43579
79,Oct 16,43429
80,Oct 15,43293
81,Oct 14,43155
82,Oct 13,43018
83,Oct 12,42875
84,Oct 11,42825
85,Oct 10,42760
86,Oct 9,42679
87,Oct 8,42592
88,Oct 7,42515
89,Oct 6,42445
90,Oct 5,42369
91,Oct 4,42350
92,Oct 3,42317
93,Oct 2,42268
94,Oct 1,42202
95,Sep 30,42143
96,Sep 29,42072
97,Sep 28,42001
98,Sep 27,41988
99,Sep 26,41971
100,Sep 25,41937
101,Sep 24,41902
102,Sep 23,41862
103,Sep 22,41825
104,Sep 21,41788
105,Sep 20,41777
106,Sep 19,41759
107,Sep 18,41732
108,Sep 17,41705
109,Sep 16,41684
110,Sep 15,41664
111,Sep 14,41637
112,Sep 13,41628
113,Sep 12,41623
114,Sep 11,41614
115,Sep 10,41608
116,Sep 9,41594
117,Sep 8,41586
118,Sep 7,41554
119,Sep 6,41551
120,Sep 5,41549
121,Sep 4,41537
122,Sep 3,41527
123,Sep 2,41514
124,Sep 1,41504
125,Aug 31,41501
126,Aug 30,41499
127,Aug 29,41498
128,Aug 28,41486
129,Aug 27,41477
130,Aug 26,41465
131,Aug 25,41449
132,Aug 24,41433
133,Aug 23,41429
134,Aug 22,41423
135,Aug 21,41405
136,Aug 20,41403
137,Aug 19,41397
138,Aug 18,41381
139,Aug 17,41369
140,Aug 16,41366
141,Aug 15,41361
142,Aug 14,41358
143,Aug 13,41347
144,Aug 12,41329
145,Aug 11,41309
146,Aug 10,41296
147,Aug 9,41278
148,Aug 8,41273
149,Aug 7,41270
150,Aug 6,41258
151,Aug 5,41240
152,Aug 4,41226
153,Aug 3,41208
154,Aug 2,41207
155,Aug 1,41202
156,Jul 31,41189
157,Jul 30,41169
158,Jul 29,41169
159,Jul 28,41135
160,Jul 27,41114
161,Jul 26,41111
162,Jul 25,41103
163,Jul 24,41088
164,Jul 23,41056
165,Jul 22,41047
166,Jul 21,41030
167,Jul 20,41005
168,Jul 19,40995
169,Jul 18,40984
170,Jul 17,40975
171,Jul 16,40949
172,Jul 15,40925
173,Jul 14,40899
174,Jul 13,40855
175,Jul 12,40845
176,Jul 11,40836
177,Jul 10,40819
178,Jul 9,40785
179,Jul 8,40754
180,Jul 7,40697
181,Jul 6,40643
182,Jul 5,40632
183,Jul 4,40613
184,Jul 3,40581
185,Jul 2,40532
186,Jul 1,40491
187,Jun 30,40394
188,Jun 29,40341
189,Jun 28,40320
190,Jun 27,40289
191,Jun 26,40249
192,Jun 25,40172
193,Jun 24,40073
194,Jun 23,39986
195,Jun 22,39892
196,Jun 21,39878
197,Jun 20,39847
198,Jun 19,39776
199,Jun 18,39692
200,Jun 17,39625
201,Jun 16,39515
202,Jun 15,39395
203,Jun 14,39366
204,Jun 13,39339
205,Jun 12,39232
206,Jun 11,39101
207,Jun 10,39025
208,Jun 9,38861
209,Jun 8,38666
210,Jun 7,38619
211,Jun 6,38565
212,Jun 5,38422
213,Jun 4,38164
214,Jun 3,38034
215,Jun 2,37780
216,Jun 1,37531
217,May 31,37445
218,May 30,37385
219,May 29,37231
220,May 28,36957
221,May 27,36614
222,May 26,36192
223,May 25,36061
224,May 24,35957
225,May 23,35578
226,May 22,35358
227,May 21,35067
228,May 20,34794
229,May 19,34466
230,May 18,33966
231,May 17,33820
232,May 16,33753
233,May 15,33342
234,May 14,32992
235,May 13,32640
236,May 12,32193
237,May 11,31579
238,May 10,31392
239,May 9,31175
240,May 8,30900
241,May 7,30321
242,May 6,29863
243,May 5,29216
244,May 4,28490
245,May 3,28218
246,May 2,27965
247,May 1,27381
248,Apr 30,26683
249,Apr 29,26049
250,Apr 28,25280
251,Apr 27,24311
252,Apr 26,23991
253,Apr 25,23627
254,Apr 24,22812
255,Apr 23,21802
256,Apr 22,21120
257,Apr 21,20273
258,Apr 20,19049
259,Apr 19,18479
260,Apr 18,18047
261,Apr 17,16942
262,Apr 16,16029
263,Apr 15,14993
264,Apr 14,14113
265,Apr 13,13037
266,Apr 12,12313
267,Apr 11,11656
268,Apr 10,10813
269,Apr 9,9691
270,Apr 8,8575
271,Apr 7,7545
272,Apr 6,6440
273,Apr 5,5873
274,Apr 4,5274
275,Apr 3,4518
276,Apr 2,3782
277,Apr 1,3125
278,Mar 31,2453
279,Mar 30,2050
280,Mar 29,1676
281,Mar 28,1464
282,Mar 27,1172
283,Mar 26,884
284,Mar 25,703
285,Mar 24,512
286,Mar 23,364
287,Mar 22,288
288,Mar 21,252
289,Mar 20,194
290,Mar 19,162
291,Mar 18,116
292,Mar 17,82
293,Mar 16,65
294,Mar 15,43
295,Mar 14,29
296,Mar 13,10
297,Mar 12,9
298,Mar 11,7
299,Mar 10,7
300,Mar 9,3
301,Mar 8,2
302,Mar 7,2
303,Mar 6,1
