,Country,Smartphone,Mobile phone but not smartphone,No mobile phone
0,South Korea,95%,5%,-
1,Israel,88%,10%,2%
2,Netherlands,87%,11%,2%
3,Sweden,86%,12%,2%
4,Australia,81%,13%,6%
5,United States,81%,13%,6%
6,Spain,80%,18%,2%
7,Lebanon,80%,15%,5%
8,Germany,78%,16%,6%
9,UK,76%,19%,5%
10,ADVANCED ECONOMIES MEDIAN,76%,17%,6%
11,Jordan,76%,23%,1%
12,France,75%,19%,6%
13,Chile,72%,22%,7%
14,Italy,71%,20%,8%
15,China,68%,30%,2%
16,Argentina,68%,16%,17%
17,Japan,66%,26%,8%
18,Canada,66%,9%,25%
19,Turkey,66%,9%,25%
20,Hungary,64%,27%,9%
21,Poland,63%,30%,7%
22,South Africa,60%,33%,6%
23,Brazil,60%,23%,17%
24,Russia,59%,34%,7%
25,Greece,59%,32%,10%
26,Philippines,55%,22%,23%
27,Mexico,52%,24%,24%
28,Tunisia,45%,45%,10%
29,EMERGING ECONOMIES MEDIAN,45%,33%,17%
30,Indonesia,42%,28%,29%
31,Kenya,41%,45%,14%
32,Nigeria,39%,44%,17%
33,India,24%,40%,35%
