,Year,Inflation rate compared to previous year
0,2025*,2%
1,2024*,2%
2,2023*,2.01%
3,2022*,2.24%
4,2021*,1.55%
5,2020*,1.4%
6,2019,0.69%
7,2018,0.93%
8,2017,-0.22%
9,2016,0.86%
10,2015,1.79%
11,2014,0.19%
12,2013,0.18%
13,2012,2.64%
14,2011,3.56%
15,2010,0.21%
16,2009,4.07%
17,2008,7.69%
18,2007,0.43%
19,2006,1.08%
20,2005,5.3%
21,2004,0.68%
22,2003,-0.93%
23,2002,2.73%
24,2001,5.07%
25,2000,1.57%
26,1999,-0.05%
27,1998,0.98%
28,1997,5.31%
29,1996,4.6%
30,1995,15.8%
31,1994,35.26%
32,1993,-0.09%
33,1992,1.62%
34,1991,0.24%
35,1990,1.13%
36,1989,-0.95%
37,1988,-0.15%
38,1987,0.05%
39,1986,4.13%
40,1985,-1.82%
