,region,Number of firefighters
0,Greater London,4683
1,Scotland*,3673
2,West Midlands,1398
3,Greater Manchester,1364
4,Northern Ireland***,917
5,South Wales**,792
6,Hampshire,658
7,Kent,658
8,Lancashire,645
9,Essex,629
10,Merseyside,610
11,Tyne and Wear,590
12,South Yorkshire,573
13,Devon and Somerset,529
14,Humberside,494
15,Avon,475
16,Surrey,473
17,Hertfordshire,468
18,Nottinghamshire,456
19,Dorset and Wiltshire,424
20,Cheshire,416
21,Mid Wales**,377
22,Berkshire,366
23,East Sussex,352
24,Derbyshire,349
25,Leicestershire,345
26,Cleveland,326
27,West Sussex,320
28,Staffordshire,319
29,North Yorkshire,299
30,Durham,295
31,Bedfordshire,281
32,Norfolk,277
33,Warwickshire,258
34,Cambridgeshire,253
35,North Wales**,248
36,Buckinghamshire,236
37,Oxfordshire,235
38,Northamptonshire,235
