,Year,Inflation rate compared to previous year
0,2025*,1.56%
1,2024*,1.48%
2,2023*,1.4%
3,2022*,1.39%
4,2021*,1.25%
5,2020*,0.64%
6,2019,1.25%
7,2018,2.31%
8,2017,2.22%
9,2016,1.77%
10,2015,0.62%
11,2014,0.49%
12,2013,1.25%
13,2012,2.63%
14,2011,3.35%
15,2010,2.33%
16,2009,-0.01%
17,2008,4.49%
18,2007,1.82%
19,2006,2.33%
20,2005,2.54%
21,2004,1.86%
22,2003,1.52%
23,2002,1.55%
24,2001,2.44%
25,2000,2.68%
26,1999,1.14%
27,1998,0.91%
28,1997,1.5%
29,1996,1.77%
30,1995,1.27%
31,1994,2.4%
32,1993,2.49%
33,1992,2.26%
34,1991,3.17%
35,1990,3.45%
36,1989,3.11%
37,1988,1.16%
38,1987,1.55%
39,1986,1.3%
40,1985,4.87%
