,Country,Number of imported firearms
0,Brazil,827972
1,Austria,819256
2,Turkey,480032
3,Italy,348380
4,Germany,317516
5,Croatia,185719
6,Czech Republic,180642
7,Canada,153284
8,China*,126478
9,Philippines,102686
10,Japan,78156
11,Spain,59711
12,Belgium,51992
13,Finland,46929
14,Romania,42853
15,Israel,27109
16,Argentina,25625
17,Portugal,24353
18,United Kingdom,21836
19,Switzerland,18298
20,Serbia,12967
21,Poland,10279
22,Russia,4802
23,Ukraine,3200
24,Slovak Republic,2973
25,Bulgaria,2092
26,Slovenia,1878
27,France,1673
28,Other**,972
