,business,Turnover in thousand SEK
0,Alecta pensionsförsäkring,57863
1,Nordea Bank AB,39380
2,AMF Pension,39266
3,AstraZeneca AB,34739
4,"Volvo, AB",32148
5,Livförsäkringsbolaget Skandia,29443
6,Swedbank AB,24542
7,Handelsbanken,21025
8,Atlas Copco AB,20844
9,Skandinaviska Enskilda Banken AB SEB,20806
10,Sandvik AB,17894
11,H&M Hennes & Mauritz AB,15639
12,Vasakronan Holding AB,14486
13,Vattenfall AB,14003
14,Scania CV AB,13319
15,Scania AB,13319
16,Volvo Car AB,12917
17,Mojang Synergies AB,12010
18,Telia Company AB,10986
19,SKF AB,10188
