,Response,Share of respondents
0,TV,77%
1,Computer (NET),57%
2,PC Laptop,38%
3,PC Desktop computer,25%
4,Tablet (NET),25%
5,iPad,17%
6,Games console (NET),14%
7,Apple iPhone,10%
8,Android smartphone,8%
9,Android tablet,6%
10,PS3,5%
11,Xbox 360,5%
12,Nintendo Wii,5%
13,MacBook,4%
14,None of these,4%
15,iPod touch,3%
16,Netbook,3%
17,Apple TV,2%
18,Other tablet,2%
19,Streaming devices (NET),2%
20,iPad mini,2%
21,Apple Desktop computer,2%
22,Blackberry/ Windows smartphone (NET),1%
23,Windows smartphone,1%
24,Roku,0%
25,Slingbox,0%
26,Other games console,0%
27,BlackBerry smartphone,0%
