,State,Share enrolled
0,Rhode Island,72.2%
1,District of Columbia,69.4%
2,Massachusetts,60.3%
3,Vermont,58.5%
4,New Hampshire,57.3%
5,New York,56.5%
6,North Dakota,56.3%
7,Maryland,55.2%
8,Nebraska,54.9%
9,Connecticut,54.7%
10,Delaware,54.2%
11,Pennsylvania,53%
12,California,52.1%
13,Minnesota,51.8%
14,Illinois,51%
15,Iowa,50.8%
16,New Jersey,50.4%
17,Wisconsin,50.1%
18,Michigan,49.5%
19,Montana,49.4%
20,Virginia,49%
21,Kansas,48.9%
22,Colorado,48.7%
23,North Carolina,48.2%
24,Maine,48.1%
25,Wyoming,47.7%
26,U.S. Average,47.6%
27,South Dakota,46.5%
28,Hawaii,46.5%
29,West Virginia,45.6%
30,Ohio,45%
31,Alabama,44.7%
32,Utah,44.6%
33,Oregon,44.4%
34,Indiana,44.1%
35,South Carolina,42.9%
36,Florida,42.8%
37,Washington,42.6%
38,Missouri,42.5%
39,Tennessee,42.5%
40,Mississippi,42.2%
41,Arizona,42.1%
42,Georgia,41.8%
43,Texas,40.6%
44,Arkansas,40.6%
45,Oklahoma,39.8%
46,New Mexico,39.2%
47,Idaho,38.8%
48,Louisiana,38.2%
49,Kentucky,35.8%
50,Nevada,31.1%
51,Alaska,28.9%
