,County in the United States,Change in population
0,"Williams County, North Dakota",67.8%
1,"Hays County, Texas",46.5%
2,"Wasatch County, Utah",44.9%
3,"Comal County, Texas",43.9%
4,"Kendall County, Texas",42.1%
5,"Sumter County, Florida",41.7%
6,"Dallas County, Iowa",41.3%
7,"Osceola County, Florida",39.8%
8,"Williamson County, Texas",39.8%
9,"St. Johns County, Florida",39.3%
10,"Forsyth County, Georgia",39.2%
11,"Fort Bend County, Texas",38.8%
12,"Lincoln County, South Dakota",36.4%
13,"Long County, Georgia",36.4%
14,"Walton County, Florida",34.6%
15,"Rockwall County, Texas",33.9%
16,"Denton County, Texas",33.9%
17,"Montgomery County, Texas",33.3%
18,"Brunswick County, North Carolina",32.9%
19,"Collin County, Texas",32.4%
20,"Loudoun County, Virginia",32.4%
21,"Kaufman County, Texas",31.7%
22,"St. Bernard Parish, Louisiana",31.6%
23,"Horry County, South Carolina",31.6%
24,"Bryan County, Georgia",31.2%
