,department of France,Number of people
0,Rhône,1425
1,Nord,1296
2,Bouches-du-Rhône,1199
3,Paris,934
4,Isère,878
5,Yvelines,786
6,Val-de-Marne,786
7,Loire,733
8,Seine-Saint-Denis,732
9,Hauts-de-Seine,721
10,Pas-de-Calais,677
11,Essonne,589
12,Seine-Maritime,512
13,Saône-et-Loire,476
14,Val-d'Oise,467
15,Moselle,456
16,Haute-Savoie,449
17,Alpes-Maritimes,449
18,Bas-Rhin,428
19,Seine-et-Marne,417
20,Guadeloupe,396
21,Ain,392
22,Côte-d'Or,352
23,Gironde,351
24,Meurthe-et-Moselle,339
25,Oise,304
26,Savoie,303
27,Vaucluse,302
28,Haute-Garonne,302
29,Pyrénées-Atlantiques,294
30,Hérault,287
31,Puy-de-Dôme,285
32,Haut-Rhin,283
33,Var,281
34,Gard,274
35,Loire-Atlantique,267
36,Ille-et-Vilaine,260
37,Sarthe,248
38,Maine-et-Loire,239
39,Drôme,239
40,Allier,225
41,Vosges,223
42,Loiret,219
43,Marne,215
44,Calvados,206
45,Aisne,206
46,Yonne,200
47,Ardèche,200
48,Somme,192
49,Jura,185
50,Eure,184
51,Eure-et-Loir,182
52,Hautes-Alpes,178
53,Doubs,166
54,Cher,165
55,Haute-Vienne,162
56,Haute-Loire,161
57,Hautes-Pyrénées,157
58,Territoire de Belfort,155
59,Morbihan,152
60,Indre-et-Loire,152
61,Ardennes,151
62,Orne,148
63,Aube,138
64,Alpes-de-Haute-Provence,137
65,Manche,136
66,Tarn,127
67,Haute-Marne,117
68,Loir-et-Cher,115
69,Vendée,104
70,Mayenne,100
71,Aveyron,94
72,Landes,93
73,Deux-Sèvres,91
74,Lot-et-Garonne,87
75,Nièvre,85
76,Charente-Maritime,77
77,Haute-Saône,76
78,Pyrénées-Orientales,75
79,Finistère,72
80,Cantal,72
81,Dordogne,70
82,Tarn-et-Garonne,69
83,Aude,68
84,Indre,66
85,Meuse,64
86,Réunion,62
87,Vienne,62
88,Côtes-d'Armor,59
89,Lozère,47
90,Corrèze,46
91,Lot,44
92,Creuse,38
93,Charente,38
94,Ariège,37
95,Martinique,32
96,Gers,30
97,Corse-du-Sud,25
98,Haute-Corse,17
99,Guyane,14
100,Mayotte,10
