,Year,Number of tickets sold in millions
0,2018,1300.4
1,2017,1239.7
2,2016,1315.3
3,2015,1320.2
4,2014,1268.2
5,2013,1343.7
6,2012,1361.5
7,2011,1283.0
8,2010,1339.1
9,2009,1412.7
10,2008,1341.3
11,2007,1404.6
12,2006,1406.0
13,2005,1379.2
14,2004,1510.5
15,2003,1532.3
16,2002,1575.7
17,2001,1487.3
18,2000,1420.8
19,1999,1465.2
20,1998,1480.7
21,1997,1387.7
22,1996,1338.6
23,1995,1262.6
24,1994,1291.7
25,1993,1244.0
26,1992,1173.2
27,1991,1140.6
28,1990,1188.6
29,1989,1262.8
30,1988,1084.8
31,1987,1088.5
32,1986,1017.2
33,1985,1056.1
34,1984,1199.0
35,1983,1197.0
36,1982,1175.0
37,1981,1067.0
38,1980,1022.0
