,department of Colombia,Number of homicides
0,Antioquia,2137
1,Valle del Cauca,2135
2,"Bogotá, D.C.",1094
3,Cauca,636
4,Norte de Santander,586
5,Atlántico,543
6,Nariño,382
7,Bolívar,361
8,Cundinamarca,334
9,Córdoba,319
10,Santander,311
11,Magdalena,260
12,Tolima,249
13,Huila,244
14,Cesar,232
15,Risaralda,231
16,Meta,222
17,La Guajira,206
18,Caquetá,185
19,Arauca,176
20,Quindio,175
21,Putumayo,173
22,Caldas,166
23,Sucre,152
24,Chocó,152
25,Boyacá,79
26,Casanare,63
27,Guaviare,32
28,"San Andres, Providencia & Santa Catalina",21
29,Vichada,11
30,Amazonas,6
31,Guainía,5
32,Vaupés,2
