,Year,GDP per capita in U.S. dollars
0,2025*,25265.21
1,2024*,24700.7
2,2023*,24250.79
3,2022*,23773.59
4,2021*,23138.08
5,2020*,22252.43
6,2019*,28499.79
7,2018,30442.12
8,2017,27193.9
9,2016,25267.15
10,2015,27398.08
11,2014,40278.05
12,2013,44754.34
13,2012,45726.19
14,2011,41657.44
15,2010,32216.41
16,2009,30414.74
17,2008,42827.13
18,2007,33732.52
19,2006,31907.2
20,2005,27014.77
21,2004,21585.56
22,2003,18786.75
23,2002,15759.07
24,2001,15108.11
25,2000,17012.78
26,1999,13358.13
27,1998,11424.92
28,1997,13740.68
29,1996,15068.13
30,1995,13871.99
31,1994,13549.78
32,1993,16213.49
33,1992,13989.93
34,1991,7960.51
35,1990,8588.15
36,1989,11359.51
37,1988,9640.41
38,1987,10956.48
39,1986,9653.47
40,1985,12670.69
