,State,Number of children enrolled
0,United States *,1616589
1,California,245012
2,Texas,238921
3,Florida,173633
4,New York,126302
5,Illinois,80958
6,Georgia,80493
7,New Jersey,52553
8,Wisconsin,49446
9,Pennsylvania,42867
10,Oklahoma,42192
11,Michigan,37140
12,Massachusetts,33433
13,Maryland,31780
14,North Carolina,29509
15,South Carolina,28421
16,Iowa,27772
17,Colorado,21493
18,Kentucky,21351
19,Arkansas,19327
20,Louisiana,18841
21,Alabama,18756
22,Tennessee,17879
23,Ohio,17870
24,Virginia,17657
25,Connecticut,14858
26,District of Columbia,13597
27,Washington,13491
28,Nebraska,13258
29,West Virginia,13063
30,New Mexico,11251
31,Kansas,11060
32,Oregon,9360
33,Vermont,8648
34,Minnesota,8237
35,Maine,5805
36,Missouri,5723
37,Arizona,5410
38,Nevada,2139
39,Mississippi,1954
40,Alaska,1304
41,Rhode Island,1080
42,North Dakota,1062
43,Delaware,845
44,Hawaii,415
45,Montana,271
46,Guam,72
