,Year,GDP per capita in U.S. dollars
0,2025*,8923.66
1,2024*,8442.32
2,2023*,7959.64
3,2022*,7463.56
4,2021*,6933.07
5,2020*,6018.78
6,2019,6109.03
7,2018,6085.76
8,2017,5462.38
9,2016,5152.97
10,2015,4860.42
11,2014,5498.61
12,2013,5239.72
13,2012,4728.27
14,2011,5174.89
15,2010,4576.23
16,2009,4579.09
17,2008,4838.15
18,2007,4076.3
19,2006,3359.61
20,2005,3071.9
21,2004,2796.62
22,2003,2440.81
23,2002,1974.06
24,2001,1839.62
25,2000,1878.24
26,1999,1931.99
27,1998,1888.76
28,1997,1980.43
29,1996,2348.11
30,1995,2387.16
