,Industry,Real value added in billion chained (2012) U.S. dollars
0,"Finance, insurance, real estate, rental, and leasing",49.94
1,Professional and business services,40.91
2,Manufacturing,35.86
3,Government and government enterprises,32.71
4,"Educational services, health care, and social assistance",30.84
5,Wholesale trade,19.51
6,Retail trade,18.43
7,Information,13.11
8,"Arts, entertainment, recreation, accommodation, and food services",11.07
9,Transportation and warehousing,9.48
10,Construction,9.37
11,Other services (except government and government enterprises),6.45
12,Utilities,4.77
13,"Agriculture, forestry, fishing, and hunting",4.66
14,"Mining, quarrying, and oil and gas extraction",1.11
