,Month,Retail sales in thousand GBP
0,Jun 20,3125034
1,May 20,1411108
2,Apr 20,1150654
3,Mar 20,2667543
4,Feb 20,3014367
5,Jan 20,4057862
6,Dec 19,6454643
7,Nov 19,4121353
8,Oct 19,3688116
9,Sep 19,4553260
10,Aug 19,3756479
11,Jul 19,3999067
12,Jun 19,4734059
13,May 19,3535417
14,Apr 19,3615672
15,Mar 19,4113607
16,Feb 19,2981150
17,Jan 19,3183238
18,Dec 18,6568917
19,Nov 18,4169220
20,Oct 18,3616085
21,Sep 18,4417836
22,Aug 18,3627659
23,Jul 18,3946838
24,Jun 18,4577433
25,May 18,3511873
26,Apr 18,3278963
27,Mar 18,3866899
28,Feb 18,2853483
29,Jan 18,3049561
30,Dec 17,6363785
31,Nov 17,4097619
32,Oct 17,3587045
33,Sep 17,4448136
34,Aug 17,3682815
35,Jul 17,3867265
36,Jun 17,4580700
37,May 17,3463503
38,Apr 17,3387293
39,Mar 17,3985468
40,Feb 17,2905527
41,Jan 17,3054374
42,Dec 16,6281117
43,Nov 16,3994203
44,Oct 16,3654037
45,Sept 16,4171042
46,Aug 16,3547164
47,July 16,3809316
48,June 16,4297676
49,May 16,3332611
50,Apr 16,3125491
51,Mar 16,3747463
52,Feb 16,2775015
53,Jan 16,2993349
