,State,Average size of family
0,Hawaii,3.57
1,Utah,3.56
2,California,3.53
3,Texas,3.46
4,Alaska,3.43
5,District of Columbia,3.38
6,Georgia,3.32
7,Nevada,3.31
8,Florida,3.29
9,Mississippi,3.29
10,Maryland,3.28
11,New Mexico,3.28
12,Arizona,3.27
13,Louisiana,3.27
14,Illinois,3.23
15,United States,3.23
16,New Jersey,3.23
17,Idaho,3.21
18,New York,3.2
19,Rhode Island,3.19
20,Virginia,3.18
21,Oklahoma,3.18
22,Alabama,3.15
23,Indiana,3.15
24,South Carolina,3.14
25,Arkansas,3.13
26,Connecticut,3.12
27,North Carolina,3.11
28,Delaware,3.11
29,Massachusetts,3.11
30,Colorado,3.1
31,Tennessee,3.1
32,Minnesota,3.09
33,Washington,3.09
34,Michigan,3.09
35,Kansas,3.09
36,Oregon,3.07
37,Kentucky,3.06
38,Missouri,3.04
39,Ohio,3.03
40,Nebraska,3.03
41,Pennsylvania,3.02
42,South Dakota,3.01
43,Wisconsin,2.99
44,New Hampshire,2.98
45,Montana,2.98
46,Iowa,2.96
47,North Dakota,2.95
48,Wyoming,2.95
49,West Virginia,2.93
50,Vermont,2.86
51,Maine,2.84
