,Week,Number of tests
0,Week 49,261229
1,Week 48,275712
2,Week 47,260717
3,Week 46,254295
4,Week 45,228023
5,Week 44,189301
6,Week 43,164742
7,Week 42,148267
8,Week 41,136883
9,Week 40,130060
10,Week 39,127952
11,Week 38,139471
12,Week 37,142673
13,Week 36,126188
14,Week 35,85419
15,Week 34,65266
16,Week 33,56762
17,Week 32,53772
18,Week 31,53032
19,Week 30,59205
20,Week 29,69529
21,Week 28,81859
22,Week 27,80031
23,Week 26,75171
24,Week 25,61842
25,Week 24,60296
26,Week 23,47080
27,Week 22,36466
28,Week 21,28986
29,Week 20,33003
30,Week 19,29129
31,Week 18,28802
32,Week 17,24560
33,Week 16,20233
34,Week 15,19880
35,Week 14,17783
36,Week 13,12349
37,Week 12,10404
38,Week 11,8990
39,Week 10,4302
40,Week 9,752
41,Week 4-8,180
