,Month,Index number of sales per week
0,Jun 20,112.8
1,May 20,54.4
2,Apr 20,29.2
3,Mar 20,89.6
4,Feb 20,154.7
5,Jan 20,120.1
6,Dec 19,115.5
7,Nov 19,128.6
8,Oct 19,149.4
9,Sep 19,113.5
10,Aug 19,110.5
11,Jul 19,113.9
12,Jun 19,161.3
13,May 19,112.3
14,Apr 19,96.8
15,Mar 19,165.8
16,Feb 19,147.5
17,Jan 19,114.0
18,Dec 18,127.4
19,Nov 18,118.5
20,Oct 18,79.8
21,Sep 18,105.2
22,Aug 18,106.0
23,Jul 18,130.3
24,Jun 18,100.6
25,May 18,100.7
26,Apr 18,107.1
27,Mar 18,116.1
28,Feb 18,98.1
29,Jan 18,107.4
30,Dec 17,111.3
31,Nov 17,103.7
32,Oct 17,116.3
33,Sep 17,113.1
34,Aug 17,107.1
35,Jul 17,126.0
36,Jun 17,90.0
37,May 17,113.9
38,Apr 17,107.7
39,Mar 17,80.6
40,Feb 17,87.7
41,Jan 17,100.8
42,Dec 16,98.2
43,Nov 16,100.7
44,Oct 16,99.5
45,Sep 16,102.4
46,Aug 16,108.3
47,Jul 16,92.0
48,Jun 16,99.7
49,May 16,86.5
50,Apr 16,102.0
51,Mar 16,99.9
52,Feb 16,104.0
53,Jan 16,104.0
