,Platform,Brand value in million U.S. dollars
0,Amazon,220791
1,Google,159722
2,Apple,140524
3,Microsoft,117072
4,Samsung,94494
5,ICBC,80791
6,Facebook,79804
7,Walmart,77520
8,Ping An,69041
9,Huawei,65084
10,Mercedes-Benz,65041
11,Verizon,63692
12,China Construction Bank,62602
13,AT&T,59103
14,Toyota,58076
15,State Grid,56965
16,Disney,56123
17,Agricultural Bank of China,54658
18,WeChat,54146
19,Bank of China,50630
20,Home Depot,50508
21,China Mobile,49023
22,Shell,47529
23,Saudi Aramco,46768
24,Volkswagen,44897
