,Year,Gross domestic product in billion international dollars
0,2021*,1141.48
1,2020*,1040.41
2,2019,1027.19
3,2018,953.29
4,2017,875.93
5,2016,805.92
6,2015,746.28
7,2014,696.35
8,2013,644.11
9,2012,591.24
10,2011,543.77
11,2010,513.84
12,2009,471.9
13,2008,463.02
14,2007,436.07
15,2006,398.31
16,2005,367.35
17,2004,340.01
18,2003,310.31
19,2002,290.23
20,2001,275.66
21,2000,262.16
22,1999,245.59
23,1998,234.86
24,1997,233.59
25,1996,218.31
26,1995,202.54
27,1994,189.52
28,1993,177.76
29,1992,170.04
30,1991,165.7
31,1990,161.21
32,1989,150.81
33,1988,136.64
34,1987,123.64
35,1986,115.67
36,1985,109.64
37,1984,114.65
