,Year,Emissions in million metric tons of carbon dioxide
0,2019,5130
1,2018,5281
2,2017,5131
3,2016,5170
4,2015,5263
5,2014,5413
6,2013,5356
7,2012,5229
8,2011,5446
9,2010,5585
10,2009,5392
11,2008,5817
12,2007,6003
13,2006,5914
14,2005,5999
15,2004,5979
16,2003,5860
17,2002,5809
18,2001,5765
19,2000,5867
20,1999,5693
21,1998,5631
22,1997,5583
23,1996,5512
24,1995,5323
25,1994,5264
26,1993,5186
27,1992,5095
28,1991,4995
29,1990,5040
30,1989,5068
31,1988,4981
32,1987,4756
33,1986,4598
34,1985,4587
35,1984,4596
36,1983,4371
37,1982,4394
38,1981,4627
39,1980,4750
40,1979,4947
41,1978,4884
42,1977,4836
43,1976,4694
44,1975,4426
