,Year,Gross domestic product in billion international dollars
0,2021*,20.24
1,2020*,18.72
2,2019*,20.05
3,2018,19.33
4,2017,18.18
5,2016,17.07
6,2015,15.84
7,2014,14.97
8,2013,14.4
9,2012,13.59
10,2011,13.16
11,2010,12.65
12,2009,12.95
13,2008,13.79
14,2007,13.26
15,2006,11.81
16,2005,10.89
17,2004,9.93
18,2003,8.95
19,2002,8.59
20,2001,8.4
21,2000,7.91
22,1999,7.38
23,1998,6.99
24,1997,6.46
25,1996,6.05
26,1995,5.67
27,1994,5.55
28,1993,5.24
29,1992,5.05
30,1991,5.11
31,1990,4.96
32,1989,4.72
33,1988,4.53
34,1987,4.38
35,1986,3.94
36,1985,3.63
37,1984,3.41
