,Vineyard,Unnamed: 1
0,Côte d'Or - Bourgogne grand cru,6250.0
1,Gironde - Pauillac,2200.0
2,Gironde - Pomerol,1800.0
3,Côte d'Or - Bourgogne premier cru blanc,1590.0
4,Marne - Champagne - Côte des blanc (zone 1),1582.6
5,Gironde - Saint-Julien,1300.0
6,"Marne - Champagne - Côte d'Epernay, Grande Montagne (zone 2)",1187.3
7,Rhône - Côte Rotie,1150.0
8,Gironde - Margaux,1100.0
9,Marne - Champagne - other region,1037.1
10,Aube - Champagne,1001.1
11,Loire - Condrieu,900.0
12,Aisne - Champagne,852.1
13,Côte d'Or - Bourgogne appellations communales Côte de Beaune blanc,750.0
14,Côte d'Or - Bourgogne premier cru rouge,680.0
15,Côte d'Or - Bourgogne appellations communales Côte de Nuits rouge,628.0
16,Gironde - Saint-Estèphe,550.0
17,Gironde - Pessac-Léogan,500.0
18,Ardèche - Cornas,450.0
19,Vaucluse - Châteauneuf-du-Pape,420.0
