,Response,Share of total employment
0,St Lucia,47.8%
1,Aruba,36.4%
2,US Virgin Islands,34.2%
3,Antigua and Barbuda,32.7%
4,Bahamas,32%
5,British Virgin Islands,31.6%
6,St Kitts and Nevis,22.7%
7,Anguilla,22%
8,Grenada,17.1%
9,St Vincent and the Grenadines,15.5%
10,Former Netherlands Antilles,14.7%
11,Dominica,13.8%
12,Cayman Islands,13.7%
13,Barbados,13.4%
14,Jamaica,11.4%
15,Bermuda,10%
16,Puerto Rico,6.9%
17,Dominican Republic,5.6%
18,Caribbean,5.5%
19,Guadeloupe,4%
20,Trinidad and Tobago,3.8%
21,Martinique,3.5%
22,Haiti,3.3%
23,Cuba,2.8%
