,State,Number of registered automobiles
0,California,15065827
1,Texas,8248322
2,Florida,7966091
3,New York,4712779
4,Ohio,4603594
5,Illinois,4477763
6,Pennsylvania,4424183
7,Georgia,3557469
8,North Carolina,3393781
9,Virginia,3267735
10,Michigan,3023940
11,Washington,2964939
12,New Jersey,2754253
13,Arizona,2391772
14,Tennessee,2285329
15,Indiana***,2248870
16,Massachusetts**,2182530
17,Alabama,2161212
18,Missouri,2102216
19,Wisconsin,2087518
20,Minnesota,1976525
21,Maryland,1922463
22,South Carolina,1830186
23,Colorado,1798177
24,Kentucky,1721942
25,Oregon,1488623
26,Louisiana,1389249
27,Connecticut,1306709
28,Oklahoma,1296219
29,Iowa,1242219
30,Nevada,1073760
31,Kansas,975171
32,Utah,937421
33,Arkansas,921161
34,Mississippi,825338
35,Nebraska,683020
36,New Mexico,655766
37,Idaho,598774
38,West Virginia,560118
39,Hawaii,509492
40,New Hampshire,506959
41,Montana,452845
42,Delaware,433363
43,Rhode Island,412255
44,Maine,390506
45,South Dakota,358859
46,North Dakota,240048
47,Vermont,218302
48,Dist. of Col.,209723
49,Wyoming,203546
50,Alaska**,183270
