,Year,Year-on-year CPI change
0,2019,2.6%
1,2018,1.7%
2,2017,1.4%
3,2016,0.3%
4,2015,0.6%
5,2014,1%
6,2013,2.5%
7,2012,2.5%
8,2011,2.3%
9,2010,1.3%
10,2009,1.2%
11,2008,2.5%
12,2007,1.6%
13,2006,1.1%
14,2005,1.7%
15,2004,1.2%
16,2003,2.1%
17,2002,3.4%
18,2001,4.5%
19,2000,2.6%
20,1999,2.2%
21,1998,2%
22,1997,2.2%
23,1996,2.1%
24,1995,2%
25,1994,2.7%
26,1993,2.1%
27,1992,3.7%
28,1991,3.9%
29,1990,2.5%
30,1989,1.1%
31,1988,0.7%
32,1987,-0.5%
33,1986,0.2%
34,1985,2.3%
35,1984,3.3%
36,1983,2.8%
37,1982,6%
38,1981,6.7%
39,1980,6.5%
40,1979,4.2%
41,1978,4.1%
42,1977,6.7%
43,1976,8.8%
44,1975,10.2%
45,1974,9.6%
46,1973,8%
47,1972,7.8%
48,1971,7.6%
49,1970,4.4%
50,1969,7.5%
51,1968,3.7%
52,1967,3.1%
53,1966,5.8%
54,1965,5.2%
55,1964,5.5%
56,1963,3.8%
