,Month,Units sold
0,Dec 19,1833
1,Nov 19,1605
2,Oct 19,1582
3,Sep 19,4765
4,Aug 19,881
5,Jul 19,1475
6,Jun 19,2404
7,May 19,2497
8,Apr 19,1892
9,Mar 19,8325
10,Feb 19,955
11,Jan 19,1676
12,Dec 18,1977
13,Nov 18,2530
14,Oct 18,1963
15,Sep 18,5851
16,Aug 18,1099
17,Jul 18,2286
18,Jun 18,3613
19,May 18,2623
20,Apr 18,2166
21,Mar 18,8524
22,Feb 18,1306
23,Jan 18,1714
24,Dec 17,1645
25,Nov 17,1914
26,Oct 17,2463
27,Sep 17,6540
28,Aug 17,1283
29,Jul 17,1935
30,Jun 17,5062
31,May 17,4075
32,Apr 17,1981
33,Mar 17,12930
34,Feb 17,1426
35,Jan 17,3221
36,Dec 16,3929
37,Nov 16,3387
38,Oct 16,3397
39,Sep 16,11319
40,Aug 16,1719
41,Jul 16,3506
