,Year,GDP per capita in U.S. dollars
0,2025*,25441.14
1,2024*,24633.75
2,2023*,23526.98
3,2022*,22143.09
4,2021*,20520.69
5,2020*,18168.34
6,2019,19569.53
7,2018,20317.89
8,2017,18899.83
9,2016,18110.7
10,2015,18114.72
11,2014,21726.89
12,2013,21805.26
13,2012,22171.91
14,2011,25896.93
15,2010,26972.87
16,2009,29819.23
17,2008,32198.01
18,2007,28899.95
19,2006,24857.21
20,2005,22624.07
21,2004,22007.85
22,2003,18530.22
23,2002,14171.84
24,2001,12577.02
25,2000,12268.25
26,1999,13901.67
27,1998,13526.69
28,1997,13484.14
29,1996,13776.7
30,1995,12997.52
31,1994,11122.87
32,1993,10451.75
33,1992,11234.16
34,1991,10282.86
35,1990,9679.32
36,1989,7879.21
37,1988,7632.64
38,1987,6577.88
39,1986,5670.97
40,1985,4832.49
