,Month,Price in euros per square meter
0,Dec 2016,3489
1,Jan 2017,3486
2,Feb 2017,3473
3,Mar 2017,3457
4,Apr 2017,3442
5,May 2017,3419
6,Jun 2017,3410
7,Jul 2017,3404
8,Aug 2017,3389
9,Sep 2017,3382
10,Oct 2017,3378
11,Nov 2017,3372
12,Dec 2017,3365
13,Jan 2018,3370
14,Feb 2018,3366
15,Mar 2018,3361
16,Apr 2018,3353
17,May 2018,3344
18,Jun 2018,3334
19,Jul 2018,3327
20,Aug 2018,3315
21,Sep 2018,3309
22,Oct 2018,3298
23,Nov 2018,3290
24,Dec 2018,3280
25,Jan 2019,3265
26,Feb 2019,3254
27,Mar 2019,3236
28,Apr 2019,3228
29,May 2019,3222
30,Jun 2019,3216
31,Jul 2019,3199
32,Aug 2019,3201
33,Sep 2019,3198
34,Oct 2019,3184
35,Nov 2019,3178
36,Dec 2019,3175
37,Jan 2020,3178
38,Feb 2020,3176
39,Mar 2020,3172
40,Apr 2020,3185
41,May 2020,3192
42,Jun 2020,3201
43,Jul 2020,3213
44,Aug 2020,3217
45,Sep 2020,3219
