,Country,Share of total contributions
0,Germany,20.78%
1,France,15.58%
2,UK,11.88%
3,Italy,11.74%
4,Spain,8.31%
5,Netherlands,5.15%
6,Belgium,4.17%
7,Poland,3.36%
8,Sweden,2.82%
9,Austria,2.36%
10,Denmark,1.92%
11,Ireland,1.69%
12,Finland,1.5%
13,Portugal,1.31%
14,Romania,1.27%
15,Czechia,1.26%
16,Greece,1.2%
17,Hungary,0.86%
18,Slovakia,0.58%
19,Bulgaria,0.38%
20,Croatia,0.34%
21,Slovenia,0.32%
22,Lithuania,0.31%
23,Luxembourg,0.26%
24,Latvia,0.19%
25,Estonia,0.17%
26,Cyprus,0.14%
27,Malta,0.08%
