,eSports player,Earnings in million U.S. dollars
0,dupreeh (Peter Rasmussen),1.8
1,Xyp9x (Andreas Højsleth),1.78
2,dev1ce (Nicolai Reedtz),1.76
3,gla1ve (Lukas Rossander),1.63
4,Magisk (Emil Reif),1.39
5,Stewie2k (Jakey Yip),1.09
6,TACO (Epitacio de Melo),1.06
7,FalleN (Gabriel Toledo),1.06
8,fer (Fernando Alvarenga),1.05
9,coldzera (Marcelo David),1.02
10,NAF (Keith Markovic),0.98
11,karrigan (Finn Anderson),0.96
12,ELiGE (Jonathan Jablonowski),0.93
13,nitr0 (Nick Cannella),0.92
14,olofmeister (Olof Kajbjer),0.88
