,Month,Number of viewers in thousands
0,November 2020,75.99
1,October 2020,44.92
2,September 2020,39.32
3,August 2020,40.64
4,July 2020,47.43
5,June 2020,45.0
6,May 2020,49.35
7,April 2020,45.88
8,March 2020,27.35
9,February 2020,45.64
10,January 2020,37.05
11,December 2019,27.17
12,November 2019,37.37
13,October 2019,48.48
14,September 2019,124.72
15,August 2019,91.24
16,July 2019,49.62
17,June 2019,43.55
18,May 2019,54.75
19,April 2019,24.03
20,March 2019,19.6
21,February 2019,32.33
22,January 2019,24.41
23,December 2018,18.45
24,November 2018,27.55
25,October 2018,34.29
26,September 2018,65.5
27,August 2018,75.52
28,July 2018,29.7
29,June 2018,16.69
30,May 2018,17.81
31,April 2018,17.19
32,March 2018,15.19
33,February 2018,22.55
34,January 2018,16.32
