,Industry,Real value added in billion chained (2012) U.S. dollars
0,"Finance, insurance, real estate, rental, and leasing",18.19
1,Government and government enterprises,16.39
2,"Arts, entertainment, recreation, accommodation, and food services",8.69
3,Professional and business services,7.16
4,"Educational services, health care, and social assistance",6.8
5,Retail trade,5.96
6,Transportation and warehousing,4.5
7,Construction,4.12
8,Wholesale trade,2.57
9,Information,2.22
10,Manufacturing,1.73
11,Utilities,1.66
12,"Agriculture, forestry, fishing, and hunting",0.57
13,"Mining, quarrying, and oil and gas extraction",0.09
