,Year,Number of workers in millions
0,2019,141.74
1,2018,140.1
2,2017,137.89
3,2016,136.1
4,2015,133.74
5,2014,131.43
6,2013,129.11
7,2012,127.58
8,2011,125.19
9,2010,124.07
10,2009,124.49
11,2008,129.38
12,2007,129.77
13,2006,128.24
14,2005,125.89
15,2004,123.55
16,2003,122.36
17,2002,121.83
18,2001,122.23
19,2000,122.09
20,1999,118.96
21,1998,116.73
22,1997,114.53
23,1996,111.96
24,1995,110.04
25,1994,107.99
26,1993,106.1
27,1992,104.67
28,1991,103.72
29,1990,104.88
30,1989,103.48
31,1988,101.41
32,1987,99.3
33,1986,96.9
34,1985,94.52
35,1984,92.19
36,1983,88.29
37,1982,87.37
38,1981,88.52
39,1980,87.64
40,1979,87.53
