,Month,Number of hours watched in millions
0,November 2020,82.98
1,October 2020,85.67
2,September 2020,77.69
3,August 2020,98.77
4,July 2020,105.29
5,June 2020,111.44
6,May 2020,122.0
7,April 2020,97.1
8,March 2020,66.2
9,February 2020,55.3
10,January 2020,53.8
11,December 2019,64.1
12,November 2019,56.6
13,October 2019,75.3
14,September 2019,60.4
15,August 2019,89.0
16,July 2019,90.5
17,June 2019,92.8
18,May 2019,107.0
19,April 2019,100.0
20,March 2019,101.0
21,February 2019,84.0
22,January 2019,127.0
23,December 2018,118.0
24,November 2018,110.0
25,October 2018,112.0
26,September 2018,106.0
27,August 2018,131.0
28,July 2018,151.0
29,June 2018,127.0
30,May 2018,144.0
31,April 2018,128.0
32,March 2018,119.0
33,February 2018,65.4
34,January 2018,45.8
