,Month,Price in GBP
0,"Jun 26, 2015",7.48
1,"May 29, 2015",7.67
2,"Apr 24, 2015",7.74
3,"Mar 27, 2015",7.25
4,"Feb 27, 2015",7.43
5,"Jan 30, 2015",7.92
6,"Dec 26, 2014",8.48
7,"Nov 28, 2014",8.01
8,"Oct 31, 2014",8.28
9,"Sep 26, 2014",8.55
10,"Aug 29, 2014",7.49
11,"Jul 25, 2014",7.2
12,"Jun 25, 2014",7.2
13,"May 30, 2014",7.39
14,"Apr 23, 2014",7.38
15,"Mar 28, 2014",7.26
16,"Feb 28, 2014",7.35
17,"Jan 31, 2014",7.38
18,"Dec 13, 2013",8.27
19,"Nov 29, 2013",8.28
20,"Oct 25, 2013",8.02
21,"Sep 27, 2013",8.93
22,"Aug 30, 2013",7.95
23,"July 26, 2013",7.12
24,"June 28, 2013",7.24
25,"May 31, 2013",7.31
26,"Apr 26, 2013",7.5
27,"Mar 29, 2013",7.49
28,"Feb 22, 2013",6.76
29,"Jan 25, 2013",6.74
30,"Dec 28, 2012",8.19
31,"Nov 30, 2012",8.6
32,"Oct 26, 2012",7.75
