,Quarter,Number of licensed vehicles
0,Q4 '19,195061
1,Q3 '19,183824
2,Q2 '19,172530
3,Q1 '19,167529
4,Q4 '18,162603
5,Q3 '18,157190
6,Q2 '18,143630
7,Q1 '18,131921
8,Q4 '17,120134
9,Q3 '17,109950
10,Q2 '17,98133
11,Q1 '17,89273
12,Q4 '16,78225
13,Q3 '16,71049
14,Q2 '16,62105
15,Q1 '16,54635
16,Q4 '15,44482
17,Q3 '15,38174
18,Q2 '15,32417
19,Q1 '15,27439
20,Q4 '14,19991
21,Q3 '14,15014
22,Q2 '14,10464
23,Q1 '14,8305
24,Q4 '13,6650
25,Q3 '13,5749
26,Q2 '13,4804
27,Q1 '13,3909
28,Q4 '12,3321
29,Q3 '12,2629
30,Q2 '12,2001
31,Q1 '12,1527
32,Q4 '11,1171
33,Q3 '11,1039
34,Q2 '11,734
35,Q1 '11,400
36,Q4 '10,134
37,Q3 '10,105
38,Q2 '10,96
39,Q1 '10,98
