,State,Voting rate
0,District of Columbia,75.9%
1,Mississippi,74.5%
2,Wisconsin,73.6%
3,Minnesota,73.2%
4,Massachusetts,70.8%
5,Colorado,70.4%
6,New Hampshire,69.4%
7,Iowa,69.4%
8,North Carolina,68.9%
9,Maine,68.6%
10,Oregon,67.6%
11,Delaware,67.3%
12,Virginia,66.9%
13,Michigan,66.8%
14,Louisiana,66.3%
15,Montana,65.7%
16,Washington,65.6%
17,Maryland,65.1%
18,South Carolina,64.7%
19,North Dakota,63.9%
20,Idaho,63.9%
21,Missouri,63.9%
22,Vermont,63.3%
23,Kansas,63.3%
24,Ohio,63.1%
25,Connecticut,62.7%
26,Rhode Island,62.5%
27,Georgia,61.9%
28,New Jersey,61.9%
29,Alabama,61.9%
30,U.S. total,61.8%
31,New Mexico,61.6%
32,Pennsylvania,61.6%
33,Nebraska,61.6%
34,Illinois,61.5%
35,South Dakota,61%
36,Florida,60.8%
37,Indiana,59.3%
38,Kentucky,59.3%
39,Wyoming,58.9%
40,New York,58.7%
41,Alaska,58.4%
42,Nevada,57.9%
43,California,57.5%
44,Utah,57%
45,Arizona,55.9%
46,Tennessee,55.7%
47,Texas,53.8%
48,Arkansas,53.3%
49,Oklahoma,52.4%
50,Hawaii,51.6%
51,West Virginia,47.8%
