,Month,Cumulative number of hospitalizations
0,Dec 20,2543
1,Dec 19,2523
2,Dec 18,2616
3,Dec 17,2683
4,Dec 16,2707
5,Dec 15,2772
6,Dec 14,2888
7,Dec 13,2832
8,Dec 12,2772
9,Dec 11,2896
10,Dec 10,2961
11,Dec 9,3034
12,Dec 8,3137
13,Dec 7,3276
14,Dec 6,3208
15,Dec 5,3163
16,Dec 4,3348
17,Dec 3,3417
18,Dec 2,3590
19,Dec 1,3709
20,Nov 30,4029
21,Nov 29,3989
22,Nov 28,3993
23,Nov 27,4216
24,Nov 26,4395
25,Nov 25,4570
26,Nov 24,4820
27,Nov 23,5076
28,Nov 22,5025
29,Nov 21,5012
30,Nov 20,5418
31,Nov 19,5651
32,Nov 18,5897
33,Nov 17,6240
34,Nov 16,6580
35,Nov 15,6518
36,Nov 14,6506
37,Nov 13,6762
38,Nov 12,7010
39,Nov 11,6879
40,Nov 10,7058
41,Nov 9,7221
42,Nov 8,6955
43,Nov 7,6895
44,Nov 6,7224
45,Nov 5,7290
46,Nov 4,7407
47,Nov 3,7489
48,Nov 2,7232
49,Nov 1,6824
50,Oct 31,6501
51,Oct 30,6438
52,Oct 29,6187
53,Oct 28,5924
54,Oct 27,5549
55,Oct 26,5260
56,Oct 25,4825
57,Oct 24,4408
58,Oct 23,4057
59,Oct 22,3649
60,Oct 21,3275
61,Oct 20,2969
62,Oct 19,2773
63,Oct 18,2497
64,Oct 17,2267
65,Oct 16,2098
66,Oct 15,1950
67,Oct 14,1777
68,Oct 13,1621
69,Oct 12,1473
70,Oct 11,1331
71,Oct 10,1257
72,Oct 9,1189
73,Oct 8,1110
74,Oct 7,1050
75,Oct 6,952
76,Oct 5,937
77,Oct 4,866
78,Oct 3,819
79,Oct 2,789
80,Oct 1,771
81,Sep 30,739
82,Sep 29,716
83,Sep 28,708
84,Sep 27,654
85,Sep 26,626
86,Sep 25,620
87,Sep 24,602
88,Sep 23,550
89,Sep 22,505
90,Sep 21,490
91,Sep 20,432
92,Sep 19,421
93,Sep 18,392
94,Sep 17,371
