,Month,Number of cases
0,Dec 14,350938
1,Dec 13,348744
2,Dec 12,344700
3,Dec 11,340287
4,Dec 10,335207
5,Dec 9,332073
6,Dec 8,327976
7,Dec 7,325071
8,Dec 6,322474
9,Dec 5,318640
10,Dec 4,312553
11,Dec 3,307618
12,Dec 2,303846
13,Dec 1,300462
14,Nov 30,298061
15,Nov 29,294799
16,Nov 28,290706
17,Nov 27,285838
18,Nov 26,280394
19,Nov 25,274011
20,Nov 24,268721
21,Nov 23,264802
22,Nov 22,260758
23,Nov 21,255970
24,Nov 20,249498
25,Nov 19,243009
26,Nov 18,236015
27,Nov 17,230124
28,Nov 16,225672
29,Nov 15,217301
30,Nov 14,211266
31,Nov 13,204664
32,Nov 12,198011
33,Nov 11,192172
34,Nov 10,187237
35,Nov 9,183420
36,Nov 8,179324
37,Nov 7,173540
38,Nov 6,166900
39,Nov 5,161350
40,Nov 4,156940
41,Nov 3,149443
42,Nov 2,146847
43,Nov 1,144341
44,Oct 31,141279
45,Oct 30,137272
46,Oct 29,132616
47,Oct 28,128392
48,Oct 27,124432
49,Oct 26,121133
50,Oct 25,118686
51,Oct 24,116109
52,Oct 23,112440
53,Oct 22,109541
54,Oct 21,106271
55,Oct 20,103736
56,Oct 19,101860
57,Oct 18,99911
58,Oct 17,98055
59,Oct 16,95902
60,Oct 15,93294
61,Oct 14,91193
62,Oct 13,89121
63,Oct 12,87913
64,Oct 11,86664
65,Oct 10,85574
66,Oct 9,83928
67,Oct 8,82534
68,Oct 7,81256
69,Oct 6,80312
70,Oct 5,79885
71,Oct 4,79151
72,Oct 3,78247
73,Oct 2,77284
74,Oct 1,76396
75,Sep 30,75542
76,Sep 29,74717
77,Sep 28,74029
78,Sep 27,73604
79,Sep 26,72939
80,Sep 25,72055
81,Sep 24,71156
82,Sep 23,70465
83,Sep 22,69663
84,Sep 21,69206
85,Sep 20,68577
86,Sep 19,68025
87,Sep 18,67176
88,Sep 17,66396
89,Sep 16,65626
90,Sep 15,65021
91,Sep 14,64596
92,Sep 13,63983
93,Sep 12,63310
94,Sep 11,62813
95,Sep 10,62126
96,Sep 9,61541
97,Sep 8,60895
98,Sep 7,60507
99,Sep 6,60258
100,Sep 5,59943
101,Sep 4,59457
102,Sep 3,59051
103,Sep 2,58633
104,Sep 1,58243
105,Aug 31,58012
106,Aug 30,57768
107,Aug 29,57448
108,Aug 28,57074
109,Aug 27,56671
110,Aug 26,56274
111,Aug 25,55912
112,Aug 24,55720
113,Aug 23,55597
114,Aug 22,55452
115,Aug 21,55211
116,Aug 20,54992
117,Aug 19,54701
118,Aug 18,54448
119,Aug 17,54234
120,Aug 16,54102
121,Aug 15,53981
122,Aug 14,53783
123,Aug 13,53548
124,Aug 12,53223
125,Aug 11,52945
126,Aug 10,52825
127,Aug 9,52668
128,Aug 8,52537
129,Aug 7,52351
130,Aug 6,52061
131,Aug 5,51848
132,Aug 4,51681
133,Aug 3,51569
134,Aug 2,51463
135,Aug 1,51310
136,Jul 31,51072
137,Jul 30,50868
138,Jul 29,50613
139,Jul 28,50410
140,Jul 27,50299
141,Jul 26,50164
142,Jul 25,49955
143,Jul 24,49692
144,Jul 23,49379
145,Jul 22,49150
146,Jul 21,48898
147,Jul 20,48771
148,Jul 19,48636
149,Jul 18,48390
150,Jul 17,48077
151,Jul 16,47765
152,Jul 15,47426
153,Jul 14,47051
154,Jul 13,46818
155,Jul 12,46512
156,Jul 11,46221
157,Jul 10,45679
158,Jul 9,45277
159,Jul 8,44859
160,Jul 7,44416
161,Jul 6,44129
162,Jul 5,43897
163,Jul 4,43569
164,Jul 3,43156
165,Jul 2,42782
166,Jul 1,42454
167,Jun 30,42141
168,Jun 29,41912
169,Jun 28,41646
170,Jun 27,41189
171,Jun 26,40866
172,Jun 25,40415
173,Jun 24,40104
174,Jun 23,39737
