,Year,Crude birth rate
0,2020,11.2
1,2015,12.3
2,2010,12.8
3,2005,12.9
4,2000,12.7
5,1995,12.8
6,1990,13.7
7,1985,14.2
8,1980,13.8
9,1975,16.1
10,1970,17.2
11,1965,18.3
12,1960,18.2
13,1955,19.1
14,1950,22.24
15,1945,15.14
16,1940,14.53
17,1935,16.48
18,1930,18.19
19,1925,19.34
20,1920,13.28
21,1915,17.25
22,1910,19.89
23,1905,21.25
24,1900,21.89
25,1895,22.33
26,1890,23.04
27,1885,24.69
28,1880,25.33
29,1875,25.54
30,1870,23.9
31,1865,22.96
32,1860,23.82
33,1855,23.08
34,1850,21.86
35,1845,23.01
36,1840,23.92
37,1835,24.47
38,1830,24.96
39,1825,25.36
40,1820,25.68
41,1815,25.88
42,1810,26.68
43,1805,28.38
44,1800,29.4
