,Response,Share of respondents
0,Avoid cultural and sports events,86%
1,"Avoid meetings, courses or conferences",84%
2,Limit or avoid private transport,83%
3,Limit or avoid public transport,82%
4,Limit or avoid commuting to work,76%
5,Postpone or cancel travel plans,73%
6,Avoid social interaction with family and friends,68%
7,Stay at home even if not sick,51%
8,Been asked to stay home even if not sick,44%
9,"Postponed major purchases (f.ex. car, white electronics, refurbishment)",39%
10,Shop for more food and consumer goods than normally,26%
