,County in United States,Number of cases
0,"New York City, N.Y.",212122
1,"Nassau, N.Y.",40947
2,"Suffolk, N.Y.",40377
3,"Westchester, N.Y.",33999
4,"Hudson, N.J.",18584
5,"Passaic, N.J.",16461
6,"Union, N.J.",16241
7,"Rockland, N.Y.",13340
8,"Orange, N.Y.",10538
9,"Woodbury, Iowa",2939
10,"McKinley, N.M.",2746
11,"Marion, Ohio",2694
12,"Pickaway, Ohio",2108
13,"Ford, Kan.",1856
14,"Walker, Texas",1851
15,"Apache, Ariz.",1732
16,"Dakota, Neb.",1720
17,"Nobles, Minn.",1597
18,"Cass, Ind.",1596
19,"Hall, Neb.",1567
20,"Finney, Kan.",1536
21,"Trousdale, Tenn.",1397
22,"Manassas, Va.",1248
23,"Buena Vista, Iowa",1221
24,"Lincoln, Ark.",985
25,"Accomack, Va.",983
26,"Texas, Okla.",947
27,"Seward, Kan.",900
28,"Moore, Texas",852
29,"Dawson, Neb.",843
30,"Neshoba, Miss.",772
31,"St. Francis, Ark.",755
32,"Lake, Tenn.",724
33,"Jones, Texas",637
34,"Colfax, Neb.",636
35,"Logan, Colo.",631
36,"Bledsoe, Tenn.",613
37,"Crawford, Iowa",576
38,"Saline, Neb.",518
39,"Buckingham, Va.",481
40,"Holmes, Miss.",461
41,"Tama, Iowa",417
42,"Louisa, Iowa",350
43,"Lowndes, Ala.",294
44,"Richmond, Va.",293
45,"Liberty, Fla.",218
46,"Terrell, Ga.",217
47,"East Carroll, La.",199
48,"Randolph, Ga.",183
49,"Echols, Ga.",146
