,Financial Quarter/Year,Net income in million U.S. dollars
0,Q3 '15,3979.0
1,Q2 '15,3931.0
2,Q1 '15,3515.0
3,Q4 '14,4675.0
4,Q3 '14,2739.0
5,Q2 '14,3351.0
6,Q1 '14,3371.0
7,Q4 '13,3324.0
8,Q3 '13*,2921.0
9,Q2 '13,3376.0
10,Q1 '13,2970.0
11,Q4 '12,2886.0
12,Q3 '12,2176.0
13,Q2 '12,2785.0
14,Q1 '12,2890.0
15,Q4 '11,2705.0
16,Q3 '11,2729.0
17,Q2 '11,2505.0
18,Q1 '11,1798.0
19,Q4 '10,2543.0
20,Q3 '10,2167.0
21,Q2 '10,1840.0
22,Q1 '10,1955.0
23,Q4 '09,1974.0
24,Q3 '09,1439.0
25,Q2 '09,1485.0
26,Q1 '09,1423.0
27,Q4 '08,382.4
28,Q3 '08,1289.9
29,Q2 '08,1247.5
30,Q1 '08,1307.1
31,Q4 '07,1206.4
32,Q3 '07,1070.0
33,Q2 '07,925.1
34,Q1 '07,1002.2
35,Q4 '06,1030.72
36,Q3 '06,733.36
37,Q2 '06,721.08
38,Q1 '06,592.29
39,Q4 '05,372.21
40,Q3 '05,381.18
41,Q2 '05,342.81
42,Q1 '05,369.19
43,Q4 '04,204.1
44,Q3 '04,51.98
45,Q2 '04,79.06
46,Q1 '04,63.97
47,Q4 '03,27.25
48,Q3 '03,20.43
49,Q2 '03,32.17
50,Q1 '03,25.8
