,Year,Inflation rate compared to previous year
0,2024*,1.5%
1,2023*,1.43%
2,2022*,1.32%
3,2021*,1.14%
4,2020*,1.04%
5,2019*,0.74%
6,2018,1.24%
7,2017,1.33%
8,2016,-0.05%
9,2015,0.11%
10,2014,0.23%
11,2013,1.25%
12,2012,3.32%
13,2011,2.94%
14,2010,1.62%
15,2009,0.77%
16,2008,3.49%
17,2007,2.03%
18,2006,2.23%
19,2005,2.21%
20,2004,2.26%
21,2003,2.81%
22,2002,2.61%
23,2001,2.32%
24,2000,2.58%
25,1999,1.65%
26,1998,2.03%
27,1997,1.85%
28,1996,3.98%
29,1995,5.39%
30,1994,4.16%
31,1993,4.5%
32,1992,5%
33,1991,6.22%
34,1990,6.4%
35,1989,6.25%
36,1988,5.09%
37,1987,4.72%
38,1986,5.82%
39,1985,8.97%
40,1984,10.74%
