,Player,World ranking points
0,"Djokovic, Novak (SRB)",9720
1,"Nadal, Rafael (ESP)",9395
2,"Federer, Roger (SUI)",7130
3,"Thiem, Dominic (AUT)",7045
4,"Medvedev, Daniil (RUS)",5890
5,"Tsitsipas, Stefanos (GRC)",4745
6,"Zverev, Alexander (GER)",3885
7,"Berrettini, Matteo (ITA)",2860
8,"Monfils, Gael (FRA)",2860
9,"Goffin, David (BEL)",2555
10,"Fognini, Fabio (ITA)",2400
11,"Bautista Agut, Roberto (ESP)",2360
12,"Schwartzmann, Diego (ARG)",2265
13,"Rublev, Andrey (RUS)",2219
14,"Shapovalov, Denis (CAN)",2075
15,"Wawrinka, Stan (SUI)",2060
16,"Khachanov, Karen (RUS)",2040
17,"Garin, Cristian (CHI)",2005
18,"Aliassime, Felix-Auger (CAN)",1771
19,"Isner, John (USA)",1760
20,"Paire, Benoit (FRA)",1738
21,"Dimitrov, Grigor (BUL)",1682
22,"Kyrgios, Nick (AUS)",1670
23,"Lajovic, Dusan (SRB)",1670
24,"de Minaur, Alex (AUS)",1575
25,"Pella, Guido (ARG)",1515
26,"Carreno Busta, Pablo (ESP)",1500
27,"Coric, Borna (CRO)",1455
28,"Basilashvili, Nikoloz (GEO)",1440
29,"Hurkacz, Hubert (POL)",1433
30,"Nishikori, Kei (JPN)",1390
31,"Raonic, Milos (CAN)",1350
32,"Krajinovic, Filip (SRB)",1318
33,"Struff, Jan-Lennard (GER)",1270
34,"Fritz, Taylor (USA)",1255
35,"Cilic, Marin (CRO)",1225
36,"Evans, Daniel (GBR)",1224
37,"Ruud, Casper (NOR)",1219
38,"Opelka, Reilly (USA)",1177
39,"Millman, John (AUS)",1141
40,"Querrey, Sam (USA)",1090
41,"Mannarino, Adrian (FRA)",1086
42,"Humbert, Ugo (FRA)",1086
43,"Edmund, Kyle (GBR)",1085
44,"Ramos-Vinolas, Albert (ESP)",1085
45,"Sonego, Lorenzo (ITA)",1038
46,"Bublik, Alexander (KAZ)",1010
47,"Nishioka, Yoshihito (JPN)",1007
48,"Tsonga, Jo-Wilfried (FRA)",1005
49,"Kecmanovic, Miomir (SRB)",1003
