,book,Number of translations
0,The Little Prince,253
1,Pinocchio,240
2,Pilgrim's Progress,200
3,Alice's Adventures in Wonderland,174
4,Andersen's Fairy Tales,159
5,Twenty Thousand Leagues Under the Sea,148
6,The Adventures of Asterix,114
7,The Adventures of Tintin,112
8,The Alchemist,80
9,Pippi Longstocking,70
10,Harry Potter,67
11,The Diary of a Young Girl,67
12,Nineteen Eighty-Four,65
13,The Adventures of Huckleberry Finn,65
14,My Name is Red,60
15,Sherlock Holmes,60
16,Sophie's World,60
17,The Very Hungry Caterpillar,60
18,The Good Soldier Švejk,58
19,Heidi,50
20,Winnie the Pooh,50
21,Things Fall Apart,50
22,Norwegian Wood,50
23,The Hobbit,50
24,Don Quixote,48
