,Month,Inflation rate
0,Nov '20,2%
1,Oct '20,2.4%
2,Sep '20,2.8%
3,Aug '20,3%
4,Jul '20,3.9%
5,Jun '20,5.7%
6,May '20,6.2%
7,Apr '20,7.4%
8,Mar '20,8%
9,Feb '20,7.5%
10,Jan '20,7.5%
11,Dec '19,6.9%
12,Nov '19,6.5%
13,Oct '19,6.1%
14,Sep '19,6.3%
15,Aug '19,7.2%
16,Jul '19,6.8%
17,Jun '19,5.7%
18,May '19,5%
19,Apr '19,3.3%
20,Mar '19,2.6%
21,Feb '19,2.1%
22,Jan '19,0.9%
23,Dec '18,0.9%
24,Nov '18,0.7%
25,Oct '18,1.8%
26,Sep '18,2.3%
27,Aug '18,2.1%
28,Jul '18,2.2%
29,Jun '18,2.7%
30,May '18,3%
31,Apr '18,4.1%
32,Mar '18,3.7%
33,Feb '18,3.4%
34,Jan '18,4.8%
35,Dec '17,5.4%
36,Nov '17,6%
37,Oct '17,5.4%
38,Sep '17,5%
39,Aug '17,4.3%
40,Jul '17,4.4%
41,Jun '17,3.7%
42,May '17,3.7%
43,Apr '17,2.8%
44,Mar '17,3.1%
45,Feb '17,3.9%
46,Jan '17,3.3%
47,Dec '16,2.5%
48,Nov '16,1.2%
