,metropolitan area,Percent change in population
0,"Austin-Round Rock-Georgetown, TX",29.8%
1,"Raleigh-Cary, NC",23%
2,"Orlando-Kissimmee-Sanford, FL",22.2%
3,"Charleston-North Charleston, SC",20.7%
4,"Houston-The Woodlands-Sugar Land, TX",19.4%
5,"North Port-Sarasota-Bradenton, FL",19.2%
6,"San Antonio-New Braunfels, TX",19.1%
7,"Dallas-Fort Worth-Arlington, TX",19%
8,"Phoenix-Mesa-Chandler, AZ",18%
9,"Charlotte-Concord-Gastonia, NC-SC",17.5%
10,"Nashville-Davidson--Murfreesboro--Franklin, TN",17.5%
11,"Denver-Aurora-Lakewood, CO",16.7%
12,"Las Vegas-Henderson-Paradise, NV",16.2%
13,"Jacksonville, FL",15.9%
14,"Seattle-Tacoma-Bellevue, WA",15.7%
15,"Tampa-St Petersburg-Clearwater, FL",14.8%
16,"Atlanta-Sandy Springs-Alpharetta, GA",13.9%
17,"Salt Lake City, UT",13.3%
18,"Oklahoma City, OK",12.4%
19,"McAllen-Edinburg-Mission, TX",12.1%
