,Response,Share of respondents
0,"Small staff, transitions in staff",18%
1,"Donor cultivation, acquisition, retention, communications",11%
2,"Economy, national mood",10%
3,Tax law impact still to come,10%
4,"Organization issues (board, CEO/leadership, fundraising, budget)",9%
5,"Local issues, including number of nonprofits competing for dollars",8%
6,Mission/purpose/programs,8%
7,Ending or starting a campaign,6%
8,"""Culture of philanthropy"" including CRM, communications plan, strategic plan, etc.",6%
9,Shifting demographics,5%
10,"Institutional donors, including government funding",5%
11,Event fundraising,2%
12,Affected by disasters,1%
