,Year,Gross domestic product in billion international dollars
0,2021*,70.41
1,2020*,65.87
2,2019,68.82
3,2018,66.13
4,2017,62.6
5,2016,60.36
6,2015,57.13
7,2014,54.21
8,2013,51.03
9,2012,48.38
10,2011,47.64
11,2010,45.51
12,2009,42.9
13,2008,44.51
14,2007,44.23
15,2006,39.75
16,2005,36.68
17,2004,34.48
18,2003,32.41
19,2002,31.31
20,2001,29.69
21,2000,28.33
22,1999,25.55
23,1998,23.23
24,1997,21.57
25,1996,20.02
26,1995,19.37
27,1994,18.7
28,1993,17.64
29,1992,16.53
30,1991,15.88
31,1990,14.14
32,1989,12.94
33,1988,11.34
34,1987,10.1
35,1986,9.48
36,1985,8.45
37,1984,7.76
