,State,Graduation rate of the class of 2016
0,West Virginia,92%
1,Vermont,90%
2,Maine,89%
3,Alabama,88%
4,Texas,87.7%
5,Arkansas,85.7%
6,Missouri,84.4%
7,New Jersey,84.3%
8,Kentucky,84%
9,Tennessee,83.8%
10,Illinois,83.5%
11,Iowa,82.4%
12,Delaware,82%
13,Nebraska,81.6%
14,Florida,81.3%
15,Kansas,81.1%
16,Mississippi,81%
17,North Carolina,80.6%
18,South Carolina,80.5%
19,California,80.3%
20,Wisconsin,80.3%
21,Wyoming,80%
22,U.S. average,80%
23,Montana,80%
24,Hawaii,80%
25,Nevada,79.7%
26,Oklahoma,79.3%
27,Connecticut,77.7%
28,Utah,77.3%
29,Alaska,77%
30,Rhode Island,76%
31,North Dakota,76%
32,New Hampshire,76%
33,Indiana,75.8%
34,Idaho,74.8%
35,Arizona,74.5%
36,Massachusetts,74.4%
37,Maryland,74%
38,Pennsylvania,73.9%
39,Ohio,73.6%
40,Georgia,73.6%
41,Michigan,73.3%
42,Virginia,73%
43,Washington,72.7%
44,Oregon,72.5%
45,District of Columbia,72%
46,New York,71.2%
47,Colorado,71.1%
48,South Dakota,71%
49,New Mexico,70.5%
50,Louisiana,67%
51,Minnesota,66.3%
