,Year,Reported property damage (in U.S. billion dollars)
0,1977,4.7
1,1978,4.5
2,1979,5.8
3,1980,6.3
4,1981,6.7
5,1982,6.4
6,1983,6.6
7,1984,6.7
8,1985,7.3
9,1986,6.7
10,1987,7.2
11,1988,8.4
12,1989,8.7
13,1990,7.8
14,1991,9.5
15,1992,8.3
16,1993,8.5
17,1994,8.2
18,1995,8.9
19,1996,9.4
20,1997,8.5
21,1998,8.6
22,1999,10.0
23,2000,11.2
24,2001 *,44.0
25,2002,10.3
26,2003,12.3
27,2004,9.8
28,2005,10.7
29,2006,11.3
30,2007,14.6
31,2008,15.5
32,2009,12.5
33,2010,11.6
34,2011,11.7
35,2012,12.4
36,2013,11.5
37,2014,11.6
38,2015**,14.3
39,2016***,10.6
40,2017****,23.0
41,2018*****,25.6
42,2019,14.8
