,Year,Number of recipients in thousands
0,2029-30*,849.0
1,2028-29*,849.0
2,2027-28*,849.0
3,2026-27*,847.0
4,2025-26*,844.0
5,2024-25*,841.0
6,2023-24*,838.0
7,2022-23*,836.0
8,2021-22*,835.0
9,2020-21*,833.0
10,2019-20*,832.0
11,2018-19*,829.0
12,2017-18,820.1
13,2016-17,804.54
14,2015-16,785.76
15,2014-15,758.8
16,2013-14,754.58
17,2012-13,751.72
18,2011-12,755.97
19,2010-11,730.92
20,2009-10,693.31
21,2008-09,662.08
22,2007-08,630.84
23,2006-07,610.7
24,2005-06,599.86
25,2004-05,580.15
26,2003-04,564.27
27,2002-03,518.7
28,2001-02,487.31
29,2000-01,473.5
30,1999-00,463.19
31,1989-90,330.15
32,1979-80,305.2
33,1969-70,213.59
34,1959-60,74.44
35,1949-50,58.18
36,1939-40,26.73
37,1929-30,14.97
38,1919-20,4.28
39,1909-10,2.11
40,1899-00,1.58
41,1889-90,1.01
42,1879-80,0.88
