,Industry,Real value added in billion chained (2012) U.S. dollars
0,Manufacturing,36.13
1,"Finance, insurance, real estate, rental, and leasing",28.29
2,Government and government enterprises,24.3
3,"Educational services, health care, and social assistance",18.54
4,Professional and business services,17.09
5,Wholesale trade,13.79
6,Retail trade,12.04
7,Transportation and warehousing,8.55
8,Construction,6.92
9,"Arts, entertainment, recreation, accommodation, and food services",6.29
10,Information,5.49
11,"Agriculture, forestry, fishing, and hunting",3.96
12,Utilities,3.25
13,"Mining, quarrying, and oil and gas extraction",2.21
