,Response,Share of chartered TEUs
0,UniFeeder,100%
1,Emirates Shipping,100%
2,Global Feeder LLC,100%
3,SeaLeadShipping,100%
4,Far Shipping,100%
5,Westwood,100%
6,Peel Ports,100%
7,Independent Container,100%
8,Melfi Marine,100%
9,King Ocean,100%
10,Bengal Tiger Line,100%
11,Nirint Lines,100%
12,Rizhao Haitong Ferry,100%
13,Asean Seas Line,100%
14,Pendulum Express Line,100%
15,Zim,98.2%
16,Boluda Lines,95.4%
17,Caribbean Feeder Services,95.2%
18,Seaboard Marine,93.8%
19,Del Monte Fresh Produce,93.3%
20,DAL,87.1%
