,"Artist, tour",Revenue in million U.S. dollars
0,Ed Sheeran - Divide (2017-19),775.05
1,U2 – U2 360° (2009-11),736.42
2,Guns N' Roses - Not in this Lifetime (2016-2019),563.3
3,Coldplay - A Head Full of Dreams (2016-17),523.03
4,Roger Waters – The Wall (2010-13),458.67
5,AC/DC – Black Ice World Tour (2008-10),441.12
6,The Rolling Stones – No Filter Tour (2017-19),415.61
7,Metallica - World Wired Tour (2016–2019),414.45
8,Madonna – Sticky & Sweet (2008-09),407.71
9,Pink - Beautiful Trauma World Tour (2018-19),397.3
