,Year,Gross domestic product in billion international dollars
0,2021*,225.77
1,2020*,209.18
2,2019*,204.81
3,2018,189.71
4,2017,174.28
5,2016,158.18
6,2015,151.34
7,2014,146.59
8,2013,139.87
9,2012,128.24
10,2011,115.96
11,2010,99.47
12,2009,91.25
13,2008,85.8
14,2007,77.23
15,2006,72.23
16,2005,66.25
17,2004,60.49
18,2003,55.9
19,2002,52.22
20,2001,49.14
21,2000,46.32
22,1999,43.72
23,1998,41.23
24,1997,38.83
25,1996,36.07
26,1995,33.82
27,1994,31.79
28,1993,30.06
29,1992,28.04
30,1991,26.26
31,1990,24.24
32,1989,22.56
33,1988,20.77
34,1987,18.82
35,1986,17.21
36,1985,15.92
37,1984,14.49
