,Year,Gross domestic product in billion international dollars
0,2021*,51.43
1,2020*,48.44
2,2019*,47.41
3,2018,44.34
4,2017,41.15
5,2016,38.45
6,2015,35.92
7,2014,33.35
8,2013,30.66
9,2012,29.49
10,2011,29.14
11,2010,27.8
12,2009,26.09
13,2008,24.71
14,2007,23.13
15,2006,21.77
16,2005,20.19
17,2004,18.38
18,2003,17.62
19,2002,15.85
20,2001,15.14
21,2000,12.84
22,1999,12.56
23,1998,11.66
24,1997,11.2
25,1996,10.51
26,1995,9.62
27,1994,9.15
28,1993,8.63
29,1992,8.14
30,1991,8.08
31,1990,7.26
32,1989,6.4
33,1988,5.57
34,1987,5.37
35,1986,5.12
36,1985,4.73
37,1984,4.44
